rk,player,nation,squad,comp,season,age,born,ninety_mins_played,yellow_cards,red_cards,second_yellow_cards,fouls,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,position,age_range,general_position,country,continent
1468,Manuel Lanzini,ARG,West Ham,Premier League,2021,28.0,1993.0,19.8,2,0,0,11,18,1,28,19,15,0,0,0,124,5,17,22.7,"MF,FW",25-29,Midfielder,Argentina,South America
1470,Julien Laporte,FRA,Lorient,Ligue 1,2021,27.0,1993.0,32.1,7,0,0,28,26,1,2,54,45,0,3,0,158,78,54,59.1,DF,25-29,Defender,France,Europe
1471,Yasser Larouci,ALG,Troyes,Ligue 1,2021,20.0,2001.0,3.8,1,0,0,2,8,0,15,7,5,1,0,0,19,4,3,57.1,DF,20-24,Defender,Algeria,Africa
1473,Jamaal Lascelles,ENG,Newcastle Utd,Premier League,2021,27.0,1993.0,22.9,5,0,0,17,4,0,0,22,7,0,3,2,86,89,31,74.2,DF,25-29,Defender,England,Europe
1474,Bryan Lasme,FRA,Arminia,Bundesliga,2021,22.0,1998.0,9.7,2,0,0,15,12,9,16,1,6,0,0,0,34,33,34,49.3,FW,20-24,Forward,France,Europe
1475,Paul Lasne,FRA,Brest,Ligue 1,2021,32.0,1989.0,9.4,1,0,0,11,15,0,12,24,12,0,0,0,46,9,6,60.0,MF,30-34,Midfielder,France,Europe
1480,Manuel Lazzari,ITA,Lazio,Serie A,2021,27.0,1993.0,18.5,3,0,0,18,44,4,56,12,14,0,0,0,85,4,20,16.7,DF,25-29,Defender,Italy,Europe
1481,Théo Le Bris,FRA,Lorient,Ligue 1,2021,18.0,2002.0,0.7,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,33.3,MF,Under 20,Midfielder,France,Europe
1482,Jérémy Le Douaron,FRA,Brest,Ligue 1,2021,23.0,1998.0,16.1,0,0,0,17,27,2,43,4,5,0,0,0,58,38,53,41.8,"FW,MF",20-24,Forward,France,Europe
1483,Enzo Le Fée,FRA,Lorient,Ligue 1,2021,21.0,2000.0,24.4,2,0,0,32,51,1,102,29,44,0,0,0,165,18,22,45.0,"MF,FW",20-24,Midfielder,France,Europe
1484,Vincent Le Goff,FRA,Lorient,Ligue 1,2021,31.0,1989.0,34.0,1,0,0,24,21,3,84,37,38,0,0,0,209,11,28,28.2,DF,30-34,Defender,France,Europe
1485,Maxime Le Marchand,FRA,Strasbourg,Ligue 1,2021,31.0,1989.0,9.6,4,0,0,10,2,0,5,14,8,0,1,0,52,15,10,60.0,DF,30-34,Defender,France,Europe
1488,Rafael Leão,POR,Milan,Serie A,2021,22.0,1999.0,28.9,4,0,0,25,45,8,63,12,7,2,0,0,99,28,37,43.1,FW,20-24,Forward,Portugal,Europe
1489,Jean-Louis Leca,FRA,Lens,Ligue 1,2021,35.0,1985.0,25.7,3,1,0,2,3,0,0,1,0,0,1,0,31,4,1,80.0,GK,35-39,Goalkeeper,France,Europe
1491,Pierre Lees-Melou,FRA,Norwich City,Premier League,2021,28.0,1993.0,25.2,5,0,0,35,23,2,33,25,36,1,0,0,181,14,15,48.3,MF,25-29,Midfielder,France,Europe
1493,Maxim Leitsch,GER,Bochum,Bundesliga,2021,23.0,1998.0,17.1,2,0,0,9,0,1,5,31,10,0,0,0,148,31,24,56.4,DF,20-24,Defender,Germany,Europe
1494,Lucas Leiva,BRA,Lazio,Serie A,2021,34.0,1987.0,18.9,9,0,0,37,17,0,4,28,30,0,0,0,122,24,16,60.0,MF,30-34,Midfielder,Brazil,South America
1495,Florian Lejeune,FRA,Alavés,La Liga,2021,30.0,1991.0,30.0,9,1,1,34,5,2,3,31,24,0,2,0,164,71,43,62.3,DF,30-34,Defender,France,Europe
1497,Thomas Lemar,FRA,Atlético Madrid,La Liga,2021,25.0,1995.0,16.0,2,0,0,11,21,2,90,8,14,0,2,0,71,12,10,54.5,MF,25-29,Midfielder,France,Europe
1498,Félix Lemaréchal,FRA,Monaco,Ligue 1,2021,17.0,2003.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MF,Under 20,Midfielder,France,Europe
1500,Fabien Lemoine,FRA,Lorient,Ligue 1,2021,34.0,1987.0,12.4,5,0,0,27,18,0,6,14,22,0,0,0,101,9,8,52.9,MF,30-34,Midfielder,France,Europe
1501,Tim Lemperle,GER,Köln,Bundesliga,2021,19.0,2002.0,1.7,0,0,0,4,3,0,1,2,1,0,0,0,7,5,10,33.3,"FW,MF",Under 20,Forward,Germany,Europe
1503,Clément Lenglet,FRA,Barcelona,La Liga,2021,26.0,1995.0,9.2,4,0,0,19,4,0,1,13,11,0,1,0,60,16,25,39.0,DF,25-29,Defender,France,Europe
